BallVr
0,-12.18644699304285
1,-40.59139762480909
2,-21.691754269083557
3,-22.902812836581127
4,-39.86930783869194
5,-17.325189064464524
6,-12.696633433745731
7,-14.042919277222246
8,-49.376957927098715
9,-38.251246449097
10,-47.09160691278818
11,-13.13496203688456
12,-12.889049862930733
13,-7.555141155369299
14,-33.33584594310821
15,-36.11584887668535
16,-26.90268818796127
17,-10.35128589867739
18,-20.553745762839213
19,-41.97846370049018
20,-31.119039790307852
21,-21.59346007013913
22,-3.925927336459054
23,-10.817703326093188
24,-16.999756652402347
25,-42.967639774368784
26,-2.515737643568663
27,-40.56615059718881
28,-36.22039879662384
29,-44.86118194710821
